Search query: (transcriptome) AND (disease)
Year,Count
2025,1
2024,6530
2023,10460
2022,10069
2021,11487
2020,10073
2019,8792
2018,7324
2017,6687
2016,6274
2015,5796
2014,4959
2013,4556
2012,4189
2011,3613
2010,3110
2009,2681
2008,2300
2007,2070
2006,1773
2005,1652
2004,1265
2003,880
2002,582
2001,382
2000,164
1999,27
1998,5
1997,2
1992,1
1986,1
