Year,Count
2024,7065
2023,11984
2022,11903
2021,11268
2020,9178
2019,7277
2018,5652
2017,4713
2016,3767
2015,2918
2014,2262
2013,1486
2012,1007
2011,706
2010,476
2009,297
2008,207
2007,168
2006,119
2005,78
2004,59
2003,38
2002,45
2001,24
2000,27
1999,15
1998,23
1997,16
1996,17
1995,7
1994,8
1993,7
1992,14
1991,11
1990,12
1989,7
1988,10
1987,4
1986,1
1985,4
1984,2
1983,2
1981,1
1980,1
1979,4
1978,4
1977,1
1976,2
1970,1
